"id","name","path","type","extension_type","created_by_id","last_update_by_id","project_id"
1,"23161.1.tif.points","project/files/SALLE 1/23161.1.tif.points",".tif.points",".tif.points",NULL,NULL,1
2,"23161.1_georef.tif","project/files/SALLE 1/23161.1_georef.tif","_georef.tif","_georef.tif",NULL,NULL,1
3,"23162.1.tif.points","project/files/SALLE 1/23162.1.tif.points",".tif.points",".tif.points",NULL,NULL,2
4,"23162.1_georef.tif","project/files/SALLE 1/23162.1_georef.tif","_georef.tif","_georef.tif",NULL,NULL,2
5,"23163.1.tif.points","project/files/SALLE 1/23163.1.tif.points",".tif.points",".tif.points",NULL,NULL,3
6,"23163.1_georef.tif","project/files/SALLE 1/23163.1_georef.tif","_georef.tif","_georef.tif",NULL,NULL,3
7,"23163.2.tif.points","project/files/SALLE 1/23163.2.tif.points",".tif.points",".tif.points",NULL,NULL,4
8,"23163.2_georef.tif","project/files/SALLE 1/23163.2_georef.tif","_georef.tif","_georef.tif",NULL,NULL,4
9,"23164.1.tif.points","project/files/SALLE 1/23164.1.tif.points",".tif.points",".tif.points",NULL,NULL,5
10,"23164.1_georef.tif","project/files/SALLE 1/23164.1_georef.tif","_georef.tif","_georef.tif",NULL,NULL,5
11,"23164.2.tif.points","project/files/SALLE 1/23164.2.tif.points",".tif.points",".tif.points",NULL,NULL,6
12,"23164.2_georef.tif","project/files/SALLE 1/23164.2_georef.tif","_georef.tif","_georef.tif",NULL,NULL,6
13,"23165.1.tif.points","project/files/SALLE 1/23165.1.tif.points",".tif.points",".tif.points",NULL,NULL,7
14,"23165.1_georef.tif","project/files/SALLE 1/23165.1_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7
15,"23166.tif.points","project/files/SALLE 1/23166.tif.points",".tif.points",".tif.points",NULL,NULL,8
16,"23166_georef.tif","project/files/SALLE 1/23166_georef.tif","_georef.tif","_georef.tif",NULL,NULL,8
17,"23167.1.tif.points","project/files/SALLE 1/23167.1.tif.points",".tif.points",".tif.points",NULL,NULL,9
18,"23167.1_georef.tif","project/files/SALLE 1/23167.1_georef.tif","_georef.tif","_georef.tif",NULL,NULL,9
19,"23174.2.tif.points","project/files/SALLE 1/23174.2.tif.points",".tif.points",".tif.points",NULL,NULL,10
20,"23174.2_georef.tif","project/files/SALLE 1/23174.2_georef.tif","_georef.tif","_georef.tif",NULL,NULL,10
21,"23175.tif.points","project/files/SALLE 1/23175.tif.points",".tif.points",".tif.points",NULL,NULL,11
22,"23175_georef.tif","project/files/SALLE 1/23175_georef.tif","_georef.tif","_georef.tif",NULL,NULL,11
23,"23180.2.tif.points","project/files/SALLE 1/23180.2.tif.points",".tif.points",".tif.points",NULL,NULL,12
24,"23180.2_georef.tif","project/files/SALLE 1/23180.2_georef.tif","_georef.tif","_georef.tif",NULL,NULL,12
25,"23181 (2).tif.points","project/files/SALLE 1/23181 (2).tif.points",".tif.points",".tif.points",NULL,NULL,13
26,"23181 (2)_georef.tif","project/files/SALLE 1/23181 (2)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,13
27,"23181.tif.points","project/files/SALLE 1/23181.tif.points",".tif.points",".tif.points",NULL,NULL,14
28,"23181_georef.tif","project/files/SALLE 1/23181_georef.tif","_georef.tif","_georef.tif",NULL,NULL,14
29,"23188.tif.points","project/files/SALLE 1/23188.tif.points",".tif.points",".tif.points",NULL,NULL,15
30,"23188_georef.tif","project/files/SALLE 1/23188_georef.tif","_georef.tif","_georef.tif",NULL,NULL,15
