"id","name","type","year","secteur","mappe","producer","scale","sheet","salle","tranche","index","nature","created_by_id","last_update_by_id"
1,"PERIMETRE DU GHARB ","-----",1979,"-----","37-25-C","ORMVAG","1//5000","-----","SALLE 1","STI","23161.1","PLAN DE RESEAU",NULL,NULL
2,"PERIMETRE DU GHARB ","-----",1979,"-----","-----","ORMVAG","1//5000","-----","SALLE 1","STI","23162.1","PLAN DU TRACE",NULL,NULL
3,"PERIMETRE DU GHARB ","-----",1979,"-----","-----","ORMVAG","1//5000","-----","SALLE 1","STI","23163.1","PLAN DU TRACE",NULL,NULL
4,"TRANCHE 2-NORD 4","-----",NULL,"-----","38-25-K","S.M.A.F.T_GALLOT_OBER_PARAGOT","1//5000","-----","SALLE 1","STI","23163.2","PLAN DE RESEAU",NULL,NULL
5,"PERIMETRE DU GHARB ","-----",NULL,"N9","-----","ORMVAG","-----","-----","SALLE 1","STI","23164.1","PLAN DE RESEAU",NULL,NULL
6,"PERIMETRE DU GHARB ","-----",1978,"N9","-----","ORMVAG","1//5000","-----","SALLE 1","STI","23164.2","PLAN DE LOCALISATION",NULL,NULL
7,"TRANCHE 2-NORD BAS SERVICE","OUVRAGE",NULL,"-----","38-25-E","S.M.A.F.T_GALLOT_OBER_PARAGOT","1//5000","-----","SALLE 1","STI","23165.1","PLAN D'EXECUTION",NULL,NULL
8,"TRANCHE 2-NORD BAS SERVICE","OUVRAGE",NULL,"-----","38-25-B","S.M.A.F.T_GALLOT_OBER_PARAGOT","1//5000","-----","SALLE 1","STI","23166","PLAN D'EXECUTION",NULL,NULL
9,"TRANCHE 2-NORD BAS SERVICE","OUVRAGE",NULL,"-----","38-25-A","S.M.A.F.T_GALLOT_OBER_PARAGOT","1//5000","-----","SALLE 1","STI","23167.1","PLAN D'EXECUTION",NULL,NULL
10,"PERIMETRE DU GHARB S.T.I","-----",NULL,"N5","-----","ORMVAG","1//5000","B 4.2","SALLE 1","STI","23174.2","PLAN DE RESEAU",NULL,NULL
11,"PERIMETRE DU GHARB-S.T.I","-----",NULL,"C1","-----","ORMVAG","1//20000","2117-B","SALLE 1","STI","23175","PLAN DU TRACE",NULL,NULL
12,"PERIMETRE DU GHARB-S.T.I","-----",NULL,"C1","37-24-A","ORMVAG","-----","4.5","SALLE 1","STI","23180.2","PLAN DE BORNAGE",NULL,NULL
13,"PERIMETRE DU BEHT","DRAINAGE ",NULL,"S6","-----","ORMVAG","1//200","S6_036","SALLE 1","BEHT","23181 (2)","PLAN DE SITAUTION",NULL,NULL
14,"PERIMETRE DU BEHT","IRRIGATION",NULL,"S6","-----","ORMVAG","1//200","S6_039","SALLE 1","BEHT","23181","PLAN DE SITAUTION",NULL,NULL
15,"GHARB","-----",NULL,"-----","38-25-B","S.M.A.F.T_GALLOT_OBER_PARAGOT","1//5000","-----","SALLE 1","STI","23188","PLAN DE RESEAU",NULL,NULL
16,"S.T.I TRANCHE 3 NORD HAUT SERVICE","-----",NULL,"N6","-----","ORMVAG","1//50000","2330","SALLE 1","STI","23189","PLAN DE SITAUTION",NULL,NULL
17,"GHARB","-----",NULL,"-----","38-25-G","S.M.A.F.T_GALLOT_OBER_PARAGOT","1//5000","-----","SALLE 1","STI","23190","PLAN DE RESEAU",NULL,NULL
18," TRANCHE 3 NORD HAUT SERVICE","-----",NULL,"-----","38-25-C-38-25-B","ORMVAG","1//5000","-----","SALLE 1","STI","23191","PLAN DE RESEAU",NULL,NULL
19,"PERIMETRE DU GHARB","-----",NULL,"N6","-----","ORMVAG","1//100//1//1000","-----","SALLE 1","STI","23194","-----",NULL,NULL
20,"PERIMETRE DU GHARB-S.T.I","-----",NULL,"C3","-----","ORMVAG","-----","8","SALLE 1","STI","23195","PLAN DE SITAUTION",NULL,NULL
21,"PERIMETRE DU GHARB","ASSAINISSEMENT",NULL,"N9","-----","ORMVAG","1//20000","2_9","SALLE 1","STI","23196","PLAN DU TRACE",NULL,NULL
22,"PERIMETRE DU GHARB","IRRIGATION",NULL,"N7","-----","ORMVAG","1//20000","2.2.0","SALLE 1","STI","23200","PLAN D'EXECUTION",NULL,NULL
23,"GHARB ","-----",NULL,"-----","-----","ORMVAG","1//5000","-----","SALLE 1","STI","23204 (2)","PLAN DE RESEAU",NULL,NULL
24,"PERIMETRE DU GHARB","CANAL",1978,"C4","-----","ORMVAG","1//5000","3","SALLE 1","STI","23205","PLAN DE SITAUTION",NULL,NULL
25,"PERIMETRE DU GHARB","CANAL",1978,"C4","-----","ORMVAG","1//5000","4","SALLE 1","STI","23206","PLAN DE SITAUTION",NULL,NULL
26,"PERIMETRE DU GHARB","IRRIGATION",1979,"N1","-----","ORMVAG","1//20000","2_1","SALLE 1","STI","23207","PLAN D'EXECUTION",NULL,NULL
27,"S.T.I. tranche 3_ Nord 5","ASSAINISSEMENT_IRRIGATION",NULL,"N5","37-26-A-38-26-M","ORMVAG","1//5000","2.3.1","SALLE 1","STI","23212","PLAN DE RESEAU",NULL,NULL
28,"STI TRANCHE 3","-----",NULL,"-----","37-25-D","ORMVAG","1//5000","-----","SALLE 1","STI","23213","PLAN DE RESEAU",NULL,NULL
29,"STI TRANCHE 3","-----",NULL,"-----","38-25-P","ORMVAG","1//5000","-----","SALLE 1","STI","23214","PLAN DE RESEAU",NULL,NULL
30," tranche 3_ Nord 5","-----",NULL,"-----","37-25-C","-----","1//5000","-----","SALLE 1","STI","23215","PLAN DE RESEAU",NULL,NULL
31,"GHARB","IRRIGATION",NULL,"-----","37-25-O","-----","1//5000","-----","SALLE 1","STI","23216","PLAN DE RESEAU",NULL,NULL
32,"GHARB","ASSAINISSEMENT_DRAINAGE",NULL,"-----","39-24-I","S.M.A.F.T_GALLOT_OBER_PARAGOT","1//5000","-----","SALLE 1","STI","23220","PLAN DE RESEAU",NULL,NULL
33,"GHARB","-----",NULL,"-----","39-24-K","S.M.A.F.T_GALLOT_OBER_PARAGOT","1//5000","-----","SALLE 1","STI","23221","PLAN DE RESEAU",NULL,NULL
34,"PERIMETRE DU GHARB","OUVRAGE",NULL,"-----","-----","ORMVAG","1//500","2270-1","SALLE 1","STI","23223","PLAN D'EXECUTION",NULL,NULL
35,"périmètre du beht infrastrure principale ","-----",1979,"-----","-----","-----","1//500","B J 1","SALLE 1","BEHT","23225 (1)","PLAN DE SITAUTION",NULL,NULL
