"id","index","epi","ar","et","nbr_boite","name_project","etude","date","secteur","ti","name_document","nbr_document_a3","nbr_document_a4","nbr_plan","type_document_a3","type_document_a4","type_document_a0","nbr_copy","nbr_exemplaire","nbr_folder","salle","created_by_id","last_update_by_id"
5458,"111-1-1","1","1","1","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","ETUDE DE  FACTIBILITE",NULL,"EST3 ET EST5 ET Z6 P7 ET P8","TTI; PTI; ","rapport de synthèse en anglais","","33","","","rapport","","","","10","SALLE ARCHIVE",NULL,NULL
5459,"111-2-1","1","1","1","2","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","projet d'exécution des ouvrages",NULL,"BEHT 3 ET BEHT 4","PIB","mémoire explicatif","","92","","","rapport","","","","3","SALLE ARCHIVE",NULL,NULL
5460,"111-2-10","1","1","1","2","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","projet d'exécution des ouvrages",NULL,"BEHT 3 ET BEHT 4","PIB","avant métré et détails estimatifs","","25","","","rapport","","","","3","SALLE ARCHIVE",NULL,NULL
5461,"111-2-2","1","1","1","2","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","projet d'exécution des ouvrages",NULL,"BEHT 3 ET BEHT 4","PIB","note de calcul génie civil","","259","","","rapport","","","","3","SALLE ARCHIVE",NULL,NULL
5462,"111-2-3","1","1","1","2","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","projet d'exécution des ouvrages",NULL,"BEHT 3 ET BEHT 4","PIB","plans d'exécution","41","","","plans d'exécution","","","29","","3","SALLE ARCHIVE",NULL,NULL
5463,"111-2-4","1","1","1","2","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","projet d'exécution des ouvrages",NULL,"BEHT 3 ET BEHT 4","PIB","plans de coffrage","","","3","","","plans de coffrage","29","","3","SALLE ARCHIVE",NULL,NULL
5464,"111-2-5","1","1","1","2","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","projet d'exécution des ouvrages",NULL,"BEHT 3 ET BEHT 4","PIB","plans de coté","","","2","","","plans de coté","29","","3","SALLE ARCHIVE",NULL,NULL
5465,"111-2-6","1","1","1","2","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","projet d'exécution des ouvrages",NULL,"BEHT 3 ET BEHT 4","PIB","plans d'ouvrage","9","","5","plans d'ouvrage","","plans d'ouvrage","29","","3","SALLE ARCHIVE",NULL,NULL
5466,"111-2-7","1","1","1","2","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","projet d'exécution des ouvrages",NULL,"BEHT 3 ET BEHT 4","PIB","plans de ferraillage","","","4","","","plans de ferraillage","29","","3","SALLE ARCHIVE",NULL,NULL
5467,"111-2-8","1","1","1","2","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","projet d'exécution des ouvrages",NULL,"BEHT 3 ET BEHT 4","PIB","plans de situation ","","","2","","","plans de situation ","29","","3","SALLE ARCHIVE",NULL,NULL
